Gene_name	Gene_ID	First_design	Original_name	Type
SPEN	ENSG00000065526	IMPACT-341	SPEN	Suppressor
SPOP	ENSG00000121067	IMPACT-341	SPOP	Suppressor
SPRED1	ENSG00000166068	IMPACT-468	SPRED1	Suppressor
SRC	ENSG00000197122	IMPACT-341	SRC	Oncogene
SRSF2	ENSG00000161547	IMPACT-410	SRSF2	Others
STAG2	ENSG00000101972	IMPACT-341	STAG2	Suppressor
STAT3	ENSG00000168610	IMPACT-410	STAT3	Oncogene
STAT5A	ENSG00000126561	IMPACT-410	STAT5A	Oncogene
STAT5B	ENSG00000173757	IMPACT-410	STAT5B	Oncogene
STK11	ENSG00000118046	IMPACT-341	STK11	Suppressor
STK19	ENSG00000204344	IMPACT-468	STK19	Oncogene
STK40	ENSG00000196182	IMPACT-341	STK40	Others
SUFU	ENSG00000107882	IMPACT-341	SUFU	Suppressor
SUZ12	ENSG00000178691	IMPACT-341	SUZ12	Suppressor
SYK	ENSG00000165025	IMPACT-341	SYK	Oncogene
TAP1	ENSG00000168394	IMPACT-468	TAP1	Others
TAP2	ENSG00000204267	IMPACT-468	TAP2	Others
TBX3	ENSG00000135111	IMPACT-341	TBX3	Suppressor
ELOC	ENSG00000154582	IMPACT-410	TCEB1	Others
TCF3	ENSG00000071564	IMPACT-410	TCF3	Suppressor
TCF7L2	ENSG00000148737	IMPACT-410	TCF7L2	Suppressor
TEK	ENSG00000120156	IMPACT-468	TEK	Others
TERT	ENSG00000164362	IMPACT-341	TERT	Oncogene
TET1	ENSG00000138336	IMPACT-341	TET1	Suppressor
TET2	ENSG00000168769	IMPACT-341	TET2	Suppressor
TGFBR1	ENSG00000106799	IMPACT-341	TGFBR1	Suppressor
TGFBR2	ENSG00000163513	IMPACT-341	TGFBR2	Suppressor
TMEM127	ENSG00000135956	IMPACT-341	TMEM127	Suppressor
TMPRSS2	ENSG00000184012	IMPACT-341	TMPRSS2	Others
TNFAIP3	ENSG00000118503	IMPACT-341	TNFAIP3	Suppressor
TNFRSF14	ENSG00000157873	IMPACT-341	TNFRSF14	Suppressor
TOP1	ENSG00000198900	IMPACT-341	TOP1	Suppressor
TP53	ENSG00000141510	IMPACT-341	TP53	Suppressor
TP53BP1	ENSG00000067369	IMPACT-468	TP53BP1	Suppressor
TP63	ENSG00000073282	IMPACT-341	TP63	Others
TRAF2	ENSG00000127191	IMPACT-410	TRAF2	Others
TRAF7	ENSG00000131653	IMPACT-341	TRAF7	Others
TSC1	ENSG00000165699	IMPACT-341	TSC1	Suppressor
TSC2	ENSG00000103197	IMPACT-341	TSC2	Suppressor
TSHR	ENSG00000165409	IMPACT-341	TSHR	Oncogene
U2AF1	ENSG00000160201	IMPACT-341	U2AF1	Oncogene
UPF1	ENSG00000005007	IMPACT-468	UPF1	Others
VEGFA	ENSG00000112715	IMPACT-410	VEGFA	Oncogene
VHL	ENSG00000134086	IMPACT-341	VHL	Suppressor
VTCN1	ENSG00000134258	IMPACT-341	VTCN1	Others
NSD2	ENSG00000109685	IMPACT-468	WHSC1	Oncogene
NSD3	ENSG00000147548	IMPACT-468	WHSC1L1	Others
WT1	ENSG00000184937	IMPACT-341	WT1	Others
WWTR1	ENSG00000018408	IMPACT-468	WWTR1	Oncogene
XIAP	ENSG00000101966	IMPACT-341	XIAP	Oncogene
XPO1	ENSG00000082898	IMPACT-341	XPO1	Oncogene
XRCC2	ENSG00000196584	IMPACT-410	XRCC2	Suppressor
YAP1	ENSG00000137693	IMPACT-341	YAP1	Oncogene
YES1	ENSG00000176105	IMPACT-341	YES1	Oncogene
ZFHX3	ENSG00000140836	IMPACT-410	ZFHX3	Suppressor
ZRSR2	ENSG00000169249	IMPACT-410	ZRSR2	Others
