Gene_name	Gene_ID	First_design	Original_name	Type
DIS3	ENSG00000083520	IMPACT-341	DIS3	Suppressor
DNAJB1	ENSG00000132002	IMPACT-410	DNAJB1	Others
DNMT1	ENSG00000130816	IMPACT-341	DNMT1	Oncogene
DNMT3A	ENSG00000119772	IMPACT-341	DNMT3A	Suppressor
DNMT3B	ENSG00000088305	IMPACT-341	DNMT3B	Suppressor
DOT1L	ENSG00000104885	IMPACT-341	DOT1L	Oncogene
DROSHA	ENSG00000113360	IMPACT-468	DROSHA	Others
DUSP4	ENSG00000120875	IMPACT-468	DUSP4	Suppressor
E2F3	ENSG00000112242	IMPACT-341	E2F3	Oncogene
EED	ENSG00000074266	IMPACT-341	EED	Suppressor
EGFL7	ENSG00000172889	IMPACT-341	EGFL7	Oncogene
EGFR	ENSG00000146648	IMPACT-341	EGFR	Oncogene
EIF1AX	ENSG00000173674	IMPACT-341	EIF1AX	Others
EIF4A2	ENSG00000156976	IMPACT-410	EIF4A2	Oncogene
EIF4E	ENSG00000151247	IMPACT-410	EIF4E	Oncogene
ELF3	ENSG00000163435	IMPACT-468	ELF3	Others
EP300	ENSG00000100393	IMPACT-341	EP300	Suppressor
EPAS1	ENSG00000116016	IMPACT-468	EPAS1	Others
EPCAM	ENSG00000119888	IMPACT-341	EPCAM	Suppressor
EPHA3	ENSG00000044524	IMPACT-341	EPHA3	Suppressor
EPHA5	ENSG00000145242	IMPACT-341	EPHA5	Others
EPHA7	ENSG00000135333	IMPACT-410	EPHA7	Others
EPHB1	ENSG00000154928	IMPACT-341	EPHB1	Suppressor
ERBB2	ENSG00000141736	IMPACT-341	ERBB2	Oncogene
ERBB3	ENSG00000065361	IMPACT-341	ERBB3	Oncogene
ERBB4	ENSG00000178568	IMPACT-341	ERBB4	Oncogene
ERCC2	ENSG00000104884	IMPACT-341	ERCC2	Suppressor
ERCC3	ENSG00000163161	IMPACT-341	ERCC3	Suppressor
ERCC4	ENSG00000175595	IMPACT-341	ERCC4	Suppressor
ERCC5	ENSG00000134899	IMPACT-341	ERCC5	Suppressor
ERF	ENSG00000105722	IMPACT-468	ERF	Suppressor
ERG	ENSG00000157554	IMPACT-341	ERG	Oncogene
ERRFI1	ENSG00000116285	IMPACT-410	ERRFI1	Suppressor
ESR1	ENSG00000091831	IMPACT-341	ESR1	Oncogene
ETV1	ENSG00000006468	IMPACT-341	ETV1	Oncogene
ETV6	ENSG00000139083	IMPACT-341	ETV6	Suppressor
EZH1	ENSG00000108799	IMPACT-468	EZH1	Oncogene
EZH2	ENSG00000106462	IMPACT-341	EZH2	Others
AMER1	ENSG00000184675	IMPACT-341	FAM123B	Suppressor
ABRAXAS1	ENSG00000163322	IMPACT-341	FAM175A	Suppressor
TENT5C	ENSG00000183508	IMPACT-341	FAM46C	Suppressor
CCNQ	ENSG00000262919	IMPACT-468	FAM58A	Suppressor
FANCA	ENSG00000187741	IMPACT-341	FANCA	Suppressor
FANCC	ENSG00000158169	IMPACT-341	FANCC	Suppressor
FAT1	ENSG00000083857	IMPACT-341	FAT1	Suppressor
FBXW7	ENSG00000109670	IMPACT-341	FBXW7	Suppressor
FGF19	ENSG00000162344	IMPACT-341	FGF19	Oncogene
FGF3	ENSG00000186895	IMPACT-341	FGF3	Oncogene
FGF4	ENSG00000075388	IMPACT-341	FGF4	Oncogene
FGFR1	ENSG00000077782	IMPACT-341	FGFR1	Oncogene
FGFR2	ENSG00000066468	IMPACT-341	FGFR2	Oncogene
FGFR3	ENSG00000068078	IMPACT-341	FGFR3	Oncogene
FGFR4	ENSG00000160867	IMPACT-341	FGFR4	Oncogene
