Gene_name	Basic_transcript
RER1	ENST00000378513;ENST00000378518;ENST00000605895;ENST00000378512;ENST00000488353
PEX10	ENST00000288774;ENST00000447513;ENST00000507596
PLCH2	ENST00000449969;ENST00000378486;ENST00000419816
AL139246.1	ENST00000424657
AL139246.4	ENST00000442305
PANK4	ENST00000378466;ENST00000435556
HES5	ENST00000378453
AL139246.5	ENST00000644246
TNFRSF14-AS1	ENST00000449660;ENST00000416860;ENST00000432521;ENST00000452793
TNFRSF14	ENST00000409119;ENST00000355716
AL139246.2	ENST00000456687
AL139246.3	ENST00000424215
PRXL2B	ENST00000444521;ENST00000378425;ENST00000419916;ENST00000378424;ENST00000537325;ENST00000378427
MMEL1	ENST00000378412;ENST00000502556
MMEL1-AS1	ENST00000427302
TTC34	ENST00000401095;ENST00000637179
AC242022.2	ENST00000648684
AC242022.1	ENST00000638002
AL592464.2	ENST00000457440
AL592464.3	ENST00000664694
AL592464.1	ENST00000429389
AL589702.1	ENST00000641229
ACTRT2	ENST00000378404
PRDM16-DT	ENST00000420957
PRDM16	ENST00000511072;ENST00000378391;ENST00000270722;ENST00000514189
AL008733.1	ENST00000440516
AL512383.1	ENST00000624175
AL590438.1	ENST00000607061
AL354743.2	ENST00000669140
AL354743.1	ENST00000665088
ARHGEF16	ENST00000378378;ENST00000378373;ENST00000378371
AL512413.1	ENST00000606489
MEGF6	ENST00000356575;ENST00000294599
MIR551A	ENST00000385042
AL513320.1	ENST00000435049
TPRG1L	ENST00000378344;ENST00000344579
WRAP73	ENST00000378322;ENST00000270708
TP73	ENST00000378295;ENST00000604074;ENST00000354437;ENST00000357733;ENST00000346387;ENST00000603362;ENST00000604479;ENST00000378285;ENST00000378280;ENST00000378288;ENST00000378290
AL136528.1	ENST00000443034
AL136528.2	ENST00000416554
TP73-AS1	ENST00000648526;ENST00000423764;ENST00000637775
CCDC27	ENST00000294600
SMIM1	ENST00000561886;ENST00000444870
LRRC47	ENST00000378251
RN7SL574P	ENST00000581512
AL365330.1	ENST00000607459
CEP104	ENST00000378230;ENST00000378223
DFFB	ENST00000625756;ENST00000338895;ENST00000378209;ENST00000341385
AL691523.1	ENST00000579705
C1orf174	ENST00000361605
LINC01134	ENST00000442673;ENST00000439488
LINC01346	ENST00000412674;ENST00000664502
LINC01345	ENST00000635247
LINC02780	ENST00000642026;ENST00000641562;ENST00000641078
AL805961.1	ENST00000642139
EEF1DP6	ENST00000449232
LINC01777	ENST00000423197
AL355602.1	ENST00000641472
Z98747.1	ENST00000438791
LINC01646	ENST00000667354;ENST00000659083;ENST00000661628;ENST00000420522
AJAP1	ENST00000378191;ENST00000378190
Z98886.1	ENST00000658045
BX005132.1	ENST00000641254
LINC02781	ENST00000641403
LINC02782	ENST00000443270
AL139823.1	ENST00000641871
Z98259.3	ENST00000641860;ENST00000649109
Z98259.2	ENST00000641583
Z98259.1	ENST00000564261
Z97988.2	ENST00000637697
AL365255.1	ENST00000637702;ENST00000413887
MIR4417	ENST00000579887
AL356693.1	ENST00000401226
MIR4689	ENST00000582517
NPHP4	ENST00000378156;ENST00000622020
AL356261.1	ENST00000585151
KCNAB2	ENST00000378097;ENST00000666163;ENST00000671676;ENST00000653262;ENST00000341524;ENST00000462676;ENST00000428161;ENST00000352527;ENST00000663169;ENST00000656198;ENST00000602612;ENST00000666299;ENST00000652845;ENST00000669250;ENST00000164247;ENST00000668559;ENST00000378092;ENST00000472700;ENST00000378083;ENST00000458166;ENST00000662363
CHD5	ENST00000262450
AL031847.2	ENST00000484532
RPL22	ENST00000234875;ENST00000497965
AL031847.1	ENST00000455744
RNF207	ENST00000377939
ICMT	ENST00000343813
LINC00337	ENST00000650463;ENST00000441724
HES3	ENST00000377898
GPR153	ENST00000377893
ACOT7	ENST00000608083;ENST00000377842;ENST00000377845;ENST00000377855;ENST00000545482;ENST00000361521
AL031848.2	ENST00000607670
HES2	ENST00000377837;ENST00000377836;ENST00000377834;ENST00000487437;ENST00000489730
ESPN	ENST00000645284;ENST00000636330;ENST00000416731;ENST00000461727
