Gene_name	Basic_transcript
snoR442	ENST00000517025;ENST00000516150;ENST00000516394
RNU6-615P	ENST00000516065
COPS4	ENST00000509093;ENST00000264389;ENST00000503682;ENST00000511653
AC073840.1	ENST00000652524
PLAC8	ENST00000311507;ENST00000411416;ENST00000509973;ENST00000505406;ENST00000426923
AC114781.2	ENST00000515670
AC114781.3	ENST00000512083
AC114781.1	ENST00000450559
COQ2	ENST00000647002;ENST00000311469;ENST00000311461
HPSE	ENST00000311412;ENST00000405413;ENST00000512196;ENST00000513463
AC114781.5	ENST00000615297
AC114781.4	ENST00000513707
HELQ	ENST00000295488;ENST00000510985
MRPS18C	ENST00000507019;ENST00000507349;ENST00000295491
ABRAXAS1	ENST00000321945;ENST00000506553;ENST00000515303
SLC25A14P1	ENST00000502867
RPL30P5	ENST00000494923
GPAT3	ENST00000611707;ENST00000395226;ENST00000264409
AC021192.2	ENST00000510169
AC079160.1	ENST00000513489;ENST00000508406;ENST00000668493
RNU6-774P	ENST00000363238
AC025538.1	ENST00000510707
AC104063.1	ENST00000504840
NKX6-1	ENST00000515820;ENST00000295886
RPL3P13	ENST00000550415
CDS1	ENST00000295887
WDFY3	ENST00000295888
RN7SL552P	ENST00000462094
WDFY3-AS1	ENST00000510449
RNU6-469P	ENST00000516253
WDFY3-AS2	ENST00000652697;ENST00000651995;ENST00000652101;ENST00000451762
AC108021.1	ENST00000652498
RN7SKP48	ENST00000365031
AC097488.1	ENST00000507834
ARHGAP24	ENST00000395184;ENST00000503995;ENST00000395183;ENST00000264343
MIR4451	ENST00000580577
AC098870.1	ENST00000584475
MAPK10	ENST00000641010;ENST00000641324;ENST00000641102;ENST00000638225;ENST00000641462;ENST00000641208;ENST00000641903;ENST00000641803;ENST00000641983;ENST00000641066;ENST00000449047;ENST00000641051;ENST00000641952;ENST00000641341;ENST00000638313;ENST00000641052;ENST00000395169;ENST00000641718;ENST00000641902;ENST00000641553;ENST00000641287;ENST00000641943;ENST00000641767;ENST00000641657;ENST00000639242;ENST00000642015;ENST00000641050;ENST00000641493;ENST00000641217;ENST00000642032;ENST00000641647;ENST00000642103;ENST00000641283;ENST00000641170;ENST00000641297;ENST00000639972;ENST00000642006;ENST00000641405;ENST00000641724;ENST00000641047;ENST00000359221;ENST00000395157;ENST00000395166;ENST00000641607;ENST00000641537;ENST00000641823;ENST00000641430;ENST00000640970;ENST00000641762;ENST00000641459;ENST00000641207;ENST00000641120;ENST00000642038;ENST00000640490;ENST00000641166;ENST00000641237;ENST00000640858;ENST00000641555;ENST00000641020;ENST00000361569;ENST00000395160;ENST00000641313;ENST00000641737;ENST00000641989;ENST00000512689;ENST00000641391;ENST00000641862;ENST00000641110;ENST00000641677;ENST00000642023;ENST00000641831;ENST00000641384;ENST00000641157;ENST00000642009;ENST00000641274;ENST00000513186;ENST00000639234;ENST00000639175;ENST00000641911;ENST00000515400;ENST00000515650;ENST00000641954;ENST00000641485;ENST00000641864;ENST00000642013;ENST00000511167;ENST00000641777
MAPK10-AS1	ENST00000511917
RN7SKP96	ENST00000516948
MIR4452	ENST00000583004
PTPN13	ENST00000427191;ENST00000411767;ENST00000436978;ENST00000502971;ENST00000316707;ENST00000511467
SLC10A6	ENST00000273905
AC093827.1	ENST00000480094
C4orf36	ENST00000295898
AC093827.2	ENST00000512654
AC093827.5	ENST00000473559
AC093827.3	ENST00000514631
AC093827.4	ENST00000508280
AFF1	ENST00000395146;ENST00000307808;ENST00000544085
TECRP1	ENST00000513307
KLHL8	ENST00000273963;ENST00000498875;ENST00000425278;ENST00000512111
AC092658.1	ENST00000505836
GAPDHP60	ENST00000513846
AC108516.1	ENST00000503666
MIR5705	ENST00000579870
HSD17B13	ENST00000302219;ENST00000328546
AC108516.2	ENST00000508163
HSD17B11	ENST00000358290;ENST00000507286
RN7SL681P	ENST00000482763
AC112250.1	ENST00000504640
NUDT9	ENST00000302174;ENST00000473942
AC112250.2	ENST00000609450
SPARCL1	ENST00000282470;ENST00000418378;ENST00000503414
AC093895.2	ENST00000506480;ENST00000506814
DSPP	ENST00000651931
DMP1	ENST00000339673;ENST00000282479
CHCHD2P7	ENST00000508008
IBSP	ENST00000226284
MEPE	ENST00000424957;ENST00000395102;ENST00000497649;ENST00000560249;ENST00000540395;ENST00000511670;ENST00000361056
HSP90AB3P	ENST00000505987
AC131944.1	ENST00000662475
SPP1	ENST00000614857;ENST00000237623;ENST00000360804;ENST00000395080
RNU1-36P	ENST00000365130
PKD2	ENST00000237596;ENST00000508588;ENST00000502363
ABCG2	ENST00000650821;ENST00000515655;ENST00000237612
AC097484.1	ENST00000471148
RNU6-818P	ENST00000364837
RNU6ATAC31P	ENST00000408513
AC097484.2	ENST00000509147
RNU6-1298P	ENST00000362456
PPM1K	ENST00000608933;ENST00000295908;ENST00000508256;ENST00000514204
RNU6-112P	ENST00000363599
PPM1K-DT	ENST00000652965
AC107067.3	ENST00000667541
AC107067.2	ENST00000664130
HERC6	ENST00000273960;ENST00000380265;ENST00000264346
HERC5	ENST00000264350;ENST00000508159
AC083829.1	ENST00000408152;ENST00000503756
NCOA4P2	ENST00000340589
PYURF	ENST00000273968
PIGY	ENST00000527353
AC098582.1	ENST00000512194
PIGY-DT	ENST00000598772
RN7SKP244	ENST00000516513
HERC3	ENST00000402738;ENST00000407637;ENST00000264345
RNU6-33P	ENST00000384793
NAP1L5	ENST00000323061
FAM13A-AS1	ENST00000500765;ENST00000659507
FAM13A	ENST00000395002;ENST00000264344;ENST00000503556;ENST00000511976;ENST00000508369;ENST00000513837;ENST00000509094;ENST00000515600
TIGD2	ENST00000603357;ENST00000317005
AC104785.1	ENST00000603220
RNU6-907P	ENST00000390924
GPRIN3	ENST00000609438;ENST00000333209
AC093866.1	ENST00000659714;ENST00000508021;ENST00000509723;ENST00000513572;ENST00000612706
AC097478.4	ENST00000673949
SNCA	ENST00000673902;ENST00000618500;ENST00000420646;ENST00000394991;ENST00000336904;ENST00000394989;ENST00000673718;ENST00000674129;ENST00000345009;ENST00000394986;ENST00000508895;ENST00000506244;ENST00000505199;ENST00000611107;ENST00000502987
AC097478.1	ENST00000610572
AC097478.3	ENST00000615968
AC097478.2	ENST00000620420
SNCA-AS1	ENST00000513653;ENST00000501215
MMRN1	ENST00000394980;ENST00000264790;ENST00000508372
AC105445.1	ENST00000664731
CCSER1	ENST00000509176;ENST00000432775
RN7SKP248	ENST00000516278
AC093729.1	ENST00000513074
TMSB4XP8	ENST00000402089
AC004054.1	ENST00000515111
AC074124.1	ENST00000502368
AC110774.1	ENST00000623567
KRT19P6	ENST00000510983
AC093810.1	ENST00000505511
PMPCAP1	ENST00000508114
AC097520.2	ENST00000662528
AC097520.1	ENST00000624435
LNCPRESS2	ENST00000502518
AC112695.1	ENST00000504213
GRID2	ENST00000282020;ENST00000510992;ENST00000611049
MTND1P19	ENST00000511780
AC095059.2	ENST00000510601
AC095059.1	ENST00000502570
AC020699.1	ENST00000505161
AC110800.1	ENST00000505498
RNA5SP164	ENST00000516533
ATOH1	ENST00000306011
AC096746.1	ENST00000501965
HMGB3P15	ENST00000507326
SMARCAD1	ENST00000457823;ENST00000354268;ENST00000509418
HPGDS	ENST00000295256
AC109925.2	ENST00000667612
AC109925.1	ENST00000478069
PDLIM5	ENST00000318007;ENST00000380180;ENST00000437932;ENST00000615540;ENST00000359265;ENST00000512274;ENST00000503974;ENST00000504489;ENST00000317968;ENST00000542407;ENST00000508216;ENST00000514743
AC108067.1	ENST00000514304
BMPR1B-DT	ENST00000510795
BMPR1B	ENST00000515059;ENST00000672698;ENST00000509540;ENST00000440890;ENST00000264568;ENST00000394931
UNC5C	ENST00000610318;ENST00000453304;ENST00000506749;ENST00000504962
AC106881.1	ENST00000605849
RPL30P6	ENST00000475925
PDHA2	ENST00000295266
RNU6-1059P	ENST00000363752
RNU6-34P	ENST00000364874
AC096661.1	ENST00000515870
LINC02267	ENST00000513393;ENST00000522173
RN7SKP28	ENST00000364770
AC096585.1	ENST00000659448
COX7A2P2	ENST00000505291
AC108515.1	ENST00000517407
STPG2	ENST00000295268
AC034154.1	ENST00000518105;ENST00000606875
STPG2-AS1	ENST00000651895;ENST00000669093;ENST00000508933
CRYZP2	ENST00000504217
RPL5P12	ENST00000477071
DUTP8	ENST00000418412
AC019077.1	ENST00000356499
RAP1GDS1	ENST00000408927;ENST00000380158;ENST00000264572;ENST00000453712;ENST00000408900;ENST00000339360
AC058823.1	ENST00000485315
TSPAN5	ENST00000305798;ENST00000505184
AC108159.1	ENST00000505408
AC114811.2	ENST00000569927
AC114811.1	ENST00000507207
BTF3P13	ENST00000513224
EIF4E	ENST00000450253;ENST00000280892;ENST00000504432;ENST00000505992
TBCAP3	ENST00000512475
AC019131.1	ENST00000583654;ENST00000459306
FAM177A1P1	ENST00000503598
AC019131.3	ENST00000665661
RNU7-149P	ENST00000516739
NDUFS5P4	ENST00000412983
METAP1	ENST00000296411;ENST00000625963
MIR3684	ENST00000579779
ABT1P1	ENST00000511060
AC019131.2	ENST00000609071
ADH5	ENST00000296412;ENST00000626055
AP002026.1	ENST00000500358;ENST00000506160;ENST00000506454;ENST00000509295
ADH4	ENST00000508393;ENST00000629236;ENST00000265512;ENST00000505590
PCNAP1	ENST00000595299;ENST00000505363
ADH6	ENST00000394897;ENST00000394899;ENST00000237653
ADH1A	ENST00000209668
ADH1B	ENST00000305046;ENST00000625860;ENST00000506651;ENST00000639454
ADH1C	ENST00000515683
ADH7	ENST00000209665;ENST00000437033;ENST00000482593;ENST00000476959
AP001960.1	ENST00000506494
C4orf17	ENST00000514652;ENST00000326581
TRMT10A	ENST00000394877;ENST00000394876;ENST00000273962
MTTP	ENST00000511045;ENST00000457717;ENST00000265517;ENST00000422897
AC083902.1	ENST00000508578
C4orf54	ENST00000511828
DAPP1	ENST00000512369;ENST00000296414
AP001962.1	ENST00000624114
LAMTOR3	ENST00000499666;ENST00000226522
DNAJB14	ENST00000442697;ENST00000610281
AC097460.2	ENST00000623099
H2AZ1	ENST00000296417;ENST00000651623
H2AZ1-DT	ENST00000507494;ENST00000501976;ENST00000666876;ENST00000515026
AC097460.1	ENST00000511857
DYNLL1P6	ENST00000503440
AC121157.1	ENST00000410264
DDIT4L	ENST00000273990
AP001961.1	ENST00000515782
EMCN	ENST00000296420;ENST00000305864;ENST00000511970
AC097459.1	ENST00000652064
LINC01216	ENST00000515728
LINC01217	ENST00000657311
LINC01218	ENST00000515150
PPP3CA	ENST00000512215;ENST00000394854;ENST00000323055;ENST00000394853;ENST00000507176
MIR1255A	ENST00000408338
AP001816.1	ENST00000527564
BANK1	ENST00000504592;ENST00000428908;ENST00000508653;ENST00000322953;ENST00000444316
AC084277.1	ENST00000652546
RNU6-462P	ENST00000362659
MTND5P5	ENST00000503764
AP002075.1	ENST00000505091
SLC39A8	ENST00000424970;ENST00000394833;ENST00000356736
RN7SL728P	ENST00000464718
AC098487.1	ENST00000512915;ENST00000506972
AF213884.2	ENST00000510417
AF213884.3	ENST00000563833;ENST00000458904
NFKB1	ENST00000394820;ENST00000226574;ENST00000505458;ENST00000600343
MANBA	ENST00000647097;ENST00000644159;ENST00000642252;ENST00000505239
AF213884.1	ENST00000488102
LRRC37A15P	ENST00000514785
KRT8P46	ENST00000512037
AC018797.1	ENST00000510791
AC018797.2	ENST00000513388
UBE2D3	ENST00000453744;ENST00000394804;ENST00000618836;ENST00000394801;ENST00000394803;ENST00000343106;ENST00000321805;ENST00000350435;ENST00000338145;ENST00000349311;ENST00000504211;ENST00000357194;ENST00000505207;ENST00000507845;ENST00000502404
AC018797.3	ENST00000652530
UBE2D3-AS1	ENST00000501133
RNU7-151P	ENST00000516930
CISD2	ENST00000273986;ENST00000503643
SLC9B1	ENST00000394789;ENST00000296422
PABPC1P7	ENST00000413177
ACTR3BP4	ENST00000503033
SLC9B2	ENST00000362026;ENST00000394785;ENST00000503103;ENST00000503230
BDH2	ENST00000296424
CENPE	ENST00000380026;ENST00000265148;ENST00000611174
LINC02428	ENST00000668077;ENST00000513793;ENST00000666142;ENST00000510200;ENST00000669559
AC105460.2	ENST00000502936
AC105460.1	ENST00000664047
DDX3P3	ENST00000506389
TACR3	ENST00000304883
AC004047.1	ENST00000653472
RNU6-635P	ENST00000516651
LINC02503	ENST00000510505
AC004052.1	ENST00000514327;ENST00000671148;ENST00000505680;ENST00000401180
CXXC4	ENST00000394767
CXXC4-AS1	ENST00000664466;ENST00000500179;ENST00000655215
AC093628.1	ENST00000606234
AC004063.1	ENST00000508358
AC004053.1	ENST00000515127
AC105918.1	ENST00000474399
AC096577.1	ENST00000515649;ENST00000671069
RNU6-351P	ENST00000516097
AC096577.2	ENST00000611455
AC004069.2	ENST00000505438
AC004069.1	ENST00000504082
TET2	ENST00000305737;ENST00000513237;ENST00000540549;ENST00000380013;ENST00000413648
TET2-AS1	ENST00000515414
RN7SL89P	ENST00000480252
PPA2	ENST00000341695;ENST00000348706;ENST00000354147;ENST00000432483
RNU6-553P	ENST00000364047
EEF1A1P9	ENST00000514975
PIMREGP2	ENST00000502488
ATP5F1EP1	ENST00000510257
AC004066.1	ENST00000514879
ARHGEF38	ENST00000265154;ENST00000420470
ARHGEF38-IT1	ENST00000512262
AC105391.1	ENST00000503155
INTS12	ENST00000394735;ENST00000340139;ENST00000451321;ENST00000618810
GSTCD	ENST00000394730;ENST00000515279;ENST00000507281;ENST00000360505;ENST00000394728
GSTCD-AS1	ENST00000504955;ENST00000506527
NPNT	ENST00000379987;ENST00000453617;ENST00000427316;ENST00000514622;ENST00000305572;ENST00000506666
AC109361.2	ENST00000512514
AC109361.1	ENST00000513220
TBCK	ENST00000394708;ENST00000273980;ENST00000361687;ENST00000394706
AIMP1	ENST00000442366;ENST00000358008;ENST00000394701;ENST00000672337;ENST00000672341;ENST00000671868;ENST00000673123;ENST00000672328;ENST00000672911;ENST00000672285;ENST00000671960;ENST00000673018
GIMD1	ENST00000638719;ENST00000507153
AC093680.1	ENST00000410401
LINC02173	ENST00000654498
AC092445.1	ENST00000650850
ACTR6P1	ENST00000514311
DKK2	ENST00000285311;ENST00000513208;ENST00000510463
RAC1P5	ENST00000512182
AC104663.1	ENST00000508555
RNU6-551P	ENST00000516661
PAPSS1	ENST00000265174
SGMS2	ENST00000394684;ENST00000359079;ENST00000394686
AC096564.1	ENST00000668384;ENST00000499098;ENST00000656249;ENST00000513071
RNU6-733P	ENST00000410759
CYP2U1	ENST00000332884;ENST00000508453
AC096564.2	ENST00000512428
HADH	ENST00000505878;ENST00000603302;ENST00000638621;ENST00000309522;ENST00000403312;ENST00000626637
LEF1	ENST00000379951;ENST00000265165;ENST00000438313;ENST00000510624;ENST00000512172
LEF1-AS1	ENST00000436413;ENST00000508266;ENST00000665040;ENST00000512637;ENST00000507799;ENST00000659790;ENST00000508286;ENST00000512129
RPSAP34	ENST00000476193
ZACNP1	ENST00000612259
EXOC7P1	ENST00000509881
RPL34-AS1	ENST00000507248
AC084209.1	ENST00000581081
RPL34	ENST00000394667;ENST00000502534;ENST00000394665;ENST00000506397;ENST00000394668
OSTC	ENST00000613215;ENST00000361564;ENST00000512478
RNU6-431P	ENST00000383874
AC107071.1	ENST00000651728
ETNPPL	ENST00000411864;ENST00000296486;ENST00000512646;ENST00000510706
AC097473.1	ENST00000508142;ENST00000581341
RCC2P8	ENST00000502779
COL25A1	ENST00000399132;ENST00000642955;ENST00000610288;ENST00000622134;ENST00000399127;ENST00000399126
COL25A1-DT	ENST00000500526
RBMXP4	ENST00000507797
SEC24B-AS1	ENST00000499713;ENST00000510971;ENST00000670376;ENST00000657290
SEC24B	ENST00000504968;ENST00000399100;ENST00000265175
RN7SL55P	ENST00000464534
MIR576	ENST00000385253
SETP20	ENST00000457046
CDC42P4	ENST00000510507
MCUB	ENST00000394650
HIGD1AP14	ENST00000507617
CASP6	ENST00000352981;ENST00000265164;ENST00000505486
AC004067.1	ENST00000608733
PLA2G12A	ENST00000243501;ENST00000502283
AC126283.2	ENST00000645635
CFI	ENST00000394634;ENST00000394635;ENST00000618244;ENST00000512148;ENST00000510800
AC126283.1	ENST00000609440
GAR1	ENST00000394631;ENST00000226796
RRH	ENST00000317735
LRIT3	ENST00000594814;ENST00000327908
KRT19P3	ENST00000507547
EGF	ENST00000265171;ENST00000509793;ENST00000652245;ENST00000503392
RNU6-35P	ENST00000384530
ELOVL6	ENST00000394607;ENST00000302274
RN7SL275P	ENST00000582762
AC093770.1	ENST00000511559
HSBP1P2	ENST00000299671
RNF14P2	ENST00000503770
RNU6-205P	ENST00000390858
ZBED1P1	ENST00000502364
ENPEP	ENST00000265162
RPL7L1P13	ENST00000511702
ZNF969P	ENST00000510345
snoU2_19	ENST00000363024;ENST00000362361;ENST00000364722
AC098798.1	ENST00000503998
PANCR	ENST00000513690;ENST00000503456
PITX2	ENST00000644743;ENST00000394595;ENST00000355080;ENST00000354925;ENST00000614423;ENST00000613094;ENST00000616641;ENST00000557119
LINC01438	ENST00000512794
AC024198.1	ENST00000515999
MIR297	ENST00000401142
LYPLA1P2	ENST00000513113
AC004062.1	ENST00000509926
RNU6-289P	ENST00000364093
AC083795.1	ENST00000491760
AC083795.2	ENST00000668198
AC139718.2	ENST00000506068
AC139718.1	ENST00000508010
AC004704.1	ENST00000511219
CCDC34P1	ENST00000507441
TUBB8P3	ENST00000510182
AC093663.1	ENST00000497190
FAM241A	ENST00000309733
AC093663.2	ENST00000484625
AC109347.1	ENST00000562919
AP1AR	ENST00000274000;ENST00000309703
AC109347.2	ENST00000610220
TIFA	ENST00000361717;ENST00000500655
ALPK1	ENST00000504176;ENST00000650871;ENST00000177648;ENST00000458497
RTEL1P1	ENST00000504490;ENST00000652638
TOX4P1	ENST00000514955
NEUROG2	ENST00000313341
NEUROG2-AS1	ENST00000506057;ENST00000504009
RPL23AP94	ENST00000512518
ZGRF1	ENST00000445203;ENST00000505019;ENST00000612287;ENST00000309071
H3P14	ENST00000321285
LARP7	ENST00000509061;ENST00000344442;ENST00000324052;ENST00000651579
MIR302CHG	ENST00000510655
MIR367	ENST00000362299
MIR302D	ENST00000362275
MIR302A	ENST00000385192
MIR302C	ENST00000362232
OSTCP4	ENST00000424397
AC106864.1	ENST00000505632
WRBP1	ENST00000423352
AC017007.4	ENST00000479865
RPL7AP30	ENST00000482859
AC017007.5	ENST00000503353
ANK2	ENST00000672356;ENST00000672955;ENST00000673044;ENST00000672696;ENST00000672315;ENST00000672088;ENST00000671793;ENST00000672402;ENST00000672830;ENST00000671825;ENST00000672312;ENST00000672731;ENST00000671854;ENST00000672350;ENST00000672934;ENST00000673546;ENST00000673573;ENST00000672684;ENST00000503423;ENST00000673255;ENST00000671893;ENST00000673453;ENST00000672246;ENST00000673555;ENST00000672930;ENST00000673334;ENST00000673430;ENST00000672990;ENST00000672880;ENST00000673298;ENST00000672068;ENST00000672362;ENST00000672793;ENST00000672209;ENST00000672759;ENST00000672177;ENST00000673109;ENST00000671756;ENST00000671809;ENST00000672965;ENST00000672090;ENST00000671906;ENST00000506722;ENST00000673536;ENST00000672986;ENST00000671951;ENST00000671704;ENST00000672221;ENST00000671727;ENST00000671762;ENST00000672366;ENST00000672502;ENST00000672045;ENST00000672854;ENST00000672251;ENST00000357077;ENST00000394537;ENST00000672779;ENST00000264366;ENST00000672240;ENST00000673363;ENST00000673240;ENST00000671971;ENST00000672411;ENST00000673231;ENST00000673353;ENST00000505342;ENST00000672915;ENST00000509550;ENST00000673048;ENST00000510275;ENST00000612754
AC017007.3	ENST00000504528
AC017007.6	ENST00000511590
AC017007.2	ENST00000511960
ANK2-AS1	ENST00000668381;ENST00000508959;ENST00000661685
AC093879.1	ENST00000513645
AC004057.1	ENST00000485827;ENST00000356247
RN7SL184P	ENST00000488308
RNU1-138P	ENST00000384093
CAMK2D	ENST00000394524;ENST00000511664;ENST00000296402;ENST00000342666;ENST00000515496;ENST00000514328;ENST00000394522;ENST00000505990;ENST00000379773;ENST00000508738
AC111193.1	ENST00000504097
ARSJ	ENST00000315366
AC104779.1	ENST00000503557
AC093815.1	ENST00000508637
UGT8	ENST00000310836;ENST00000394511
MIR577	ENST00000385196
CIR1P2	ENST00000514821
RN7SL808P	ENST00000496066
NDST4	ENST00000264363;ENST00000613194
MRPS33P3	ENST00000513456
RPF2P2	ENST00000504693
PGAM4P2	ENST00000512491
KRT18P21	ENST00000515767
AC027613.1	ENST00000508414;ENST00000513136
EIF3KP3	ENST00000514461
TTC39CP1	ENST00000512513
MTRNR2L13	ENST00000604093
TRMT112P1	ENST00000505515
CUL4AP1	ENST00000514750
AC106892.1	ENST00000660994
ACTN4P1	ENST00000514175
AC093765.5	ENST00000669446
AC093765.4	ENST00000668097
AC093765.3	ENST00000654940
AC093765.2	ENST00000658952;ENST00000663126
RNU6-119P	ENST00000364882
AC093765.1	ENST00000603758
TRAM1L1	ENST00000310754
AC107399.1	ENST00000451226
LINC02262	ENST00000416680;ENST00000666459;ENST00000662581
LINC02263	ENST00000656442;ENST00000420701;ENST00000668756;ENST00000659910;ENST00000667220;ENST00000670348;ENST00000658771;ENST00000656637
LINC01378	ENST00000437514;ENST00000422145;ENST00000668162
RPSAP35	ENST00000413753
NT5C3AP1	ENST00000441170;ENST00000394500
AC092661.1	ENST00000650758
LINC02264	ENST00000663617
NDST3	ENST00000296499
FKBP4P1	ENST00000507284
SNHG8	ENST00000654083;ENST00000602414
PRSS12	ENST00000296498
NDUFS5P5	ENST00000437256
AC092670.1	ENST00000616602
CEP170P1	ENST00000502249
AC110079.1	ENST00000567913;ENST00000635213
RNU6-1054P	ENST00000411293
CICP16	ENST00000502609
SEPTIN14P4	ENST00000513445
METTL14-DT	ENST00000629093;ENST00000655315;ENST00000668247
METTL14	ENST00000388822
SEC24D	ENST00000280551;ENST00000511481;ENST00000419654
SYNPO2	ENST00000610556;ENST00000448416;ENST00000307142;ENST00000429713;ENST00000434046;ENST00000627783
AC096745.1	ENST00000509945
MYOZ2	ENST00000307128
AC092656.1	ENST00000503243;ENST00000515843;ENST00000624134
USP53	ENST00000274030;ENST00000450251
C4orf3	ENST00000504110;ENST00000399075
FABP2	ENST00000274024
KLHL2P1	ENST00000508691
RNU4-33P	ENST00000364316
AC110373.1	ENST00000505994
GTF2IP12	ENST00000651444;ENST00000634317;ENST00000456547
AC093752.3	ENST00000567343
RNU6-1217P	ENST00000411276
AC093752.1	ENST00000511950;ENST00000511823;ENST00000500559;ENST00000503038
AC093752.2	ENST00000506942
PDE5A	ENST00000394439;ENST00000354960;ENST00000264805
SNORA11	ENST00000408318;ENST00000408237;ENST00000408133;ENST00000408471;ENST00000408789;ENST00000408823
AC080089.2	ENST00000652566
LINC01365	ENST00000512219
AC097173.2	ENST00000505862
LINC02502	ENST00000505122
AC097173.3	ENST00000518701
MAD2L1	ENST00000296509
AC073475.1	ENST00000503073;ENST00000511064;ENST00000504106;ENST00000508362;ENST00000653046
LTV1P1	ENST00000510683
SAR1AP3	ENST00000434012
AC025741.1	ENST00000506100
PRDM5	ENST00000264808;ENST00000428209;ENST00000515109;ENST00000394435
RNU6-550P	ENST00000391057
SETP12	ENST00000514068
NDNF	ENST00000379692
RN7SKP137	ENST00000411074
AC105254.1	ENST00000507782
AC105254.2	ENST00000603636
TNIP3	ENST00000057513;ENST00000507879;ENST00000509841
RNU6-948P	ENST00000516374
QRFPR	ENST00000394427;ENST00000334383
AC093816.1	ENST00000515076;ENST00000583825
TUBB4BP5	ENST00000512282
ANXA5	ENST00000296511;ENST00000501272;ENST00000515017
TMEM155	ENST00000643663;ENST00000643802
AC079341.1	ENST00000424958
EXOSC9	ENST00000379663;ENST00000243498;ENST00000512454
CCNA2	ENST00000274026;ENST00000618014
BBS7	ENST00000264499;ENST00000506636
AC079341.2	ENST00000567769
TRPC3	ENST00000379645;ENST00000264811;ENST00000513531
AC097533.1	ENST00000413478
RN7SL335P	ENST00000482790
KIAA1109	ENST00000264501;ENST00000388738
ADAD1	ENST00000296513;ENST00000388724;ENST00000388725
IL2	ENST00000226730
IL21	ENST00000648588;ENST00000611104
IL21-AS1	ENST00000417927;ENST00000668520
AC053545.1	ENST00000660031
CETN4P	ENST00000642099;ENST00000432407
BBS12	ENST00000542236;ENST00000314218
AC021205.2	ENST00000480069
FGF2	ENST00000264498;ENST00000608478;ENST00000644866
AC021205.1	ENST00000517260;ENST00000468797
AC021205.3	ENST00000653767
NUDT6	ENST00000304430;ENST00000339154;ENST00000502270
SPATA5	ENST00000274008
AC109357.1	ENST00000401335
AC026402.1	ENST00000513642
AC026402.2	ENST00000654181
SPRY1	ENST00000651917;ENST00000610581;ENST00000339241;ENST00000622283;ENST00000394339
AC093821.1	ENST00000667633
LINC02435	ENST00000508291
LINC01091	ENST00000664622;ENST00000661368;ENST00000666756;ENST00000514823;ENST00000515769;ENST00000655892;ENST00000656388
AC096732.1	ENST00000439565
RPL21P50	ENST00000417698
AC093767.1	ENST00000504523
AC108075.1	ENST00000663679
PPIAP76	ENST00000424692
AC121154.1	ENST00000507299
AC133530.1	ENST00000669259
AC097474.1	ENST00000506481
TECRP2	ENST00000503270
LINC02516	ENST00000651887;ENST00000563724
ANKRD50	ENST00000504087;ENST00000515641
FAT4	ENST00000394329;ENST00000674496;ENST00000335110
AC104664.1	ENST00000667497
NUP58P1	ENST00000502546
TMEM248P1	ENST00000510579
LINC02379	ENST00000655624
H3P15	ENST00000506038
AC097528.1	ENST00000661809
RBM48P1	ENST00000509661
AC096773.1	ENST00000506852
AC093772.1	ENST00000513519;ENST00000504050;ENST00000667124
AC093772.2	ENST00000669239
AC097462.1	ENST00000514125
AC097462.2	ENST00000504623
AC097462.3	ENST00000662020
INTU	ENST00000335251
SLC25A31	ENST00000281154
HSPA4L	ENST00000508776;ENST00000296464;ENST00000505726
AC093591.3	ENST00000634516
AC093591.1	ENST00000491435
AC093591.2	ENST00000565254
PLK4	ENST00000270861;ENST00000515069;ENST00000513090;ENST00000507249;ENST00000514379
RNU6-583P	ENST00000516012
MFSD8	ENST00000296468;ENST00000641686;ENST00000641186;ENST00000641690;ENST00000641509;ENST00000641393;ENST00000641147;ENST00000641178;ENST00000641482;ENST00000641949;ENST00000641228;ENST00000641590;ENST00000513559;ENST00000642042;ENST00000641243;ENST00000641134;ENST00000641695;ENST00000641503;ENST00000641743
ABHD18	ENST00000398965;ENST00000645843;ENST00000444616;ENST00000388795;ENST00000611882
LARP1B	ENST00000512292;ENST00000326639;ENST00000394288;ENST00000432347;ENST00000649983;ENST00000648358;ENST00000650359
AC099340.1	ENST00000475247
FOSL1P1	ENST00000511041
PGRMC2	ENST00000613358;ENST00000296425;ENST00000520121;ENST00000394276;ENST00000512483;ENST00000503872;ENST00000503588
LINC02615	ENST00000505133;ENST00000511497;ENST00000662621;ENST00000667326
AC110609.1	ENST00000608228
AC078850.1	ENST00000514265
AC078850.2	ENST00000487657
JADRR	ENST00000626286
JADE1	ENST00000226319;ENST00000511647;ENST00000452328;ENST00000512960;ENST00000610919;ENST00000413543;ENST00000611140
SCLT1	ENST00000281142;ENST00000439369;ENST00000503215;ENST00000506368;ENST00000511426;ENST00000503401
AC093783.1	ENST00000612976
C4orf33	ENST00000281146;ENST00000502887;ENST00000425929
AC093826.1	ENST00000508655
ZSWIM5P3	ENST00000511265
AC105417.1	ENST00000514691
AC082650.1	ENST00000503542
AC082650.2	ENST00000659495
LINC02466	ENST00000653915;ENST00000654715;ENST00000663942;ENST00000664709;ENST00000509105
LINC02465	ENST00000652794;ENST00000668510;ENST00000663986;ENST00000654449;ENST00000663075;ENST00000669757;ENST00000653703;ENST00000513875;ENST00000657908;ENST00000514892
RNY5P4	ENST00000410929
EEF1GP8	ENST00000506566
LINC02479	ENST00000655259
PGBD4P4	ENST00000509673
GAPDHP56	ENST00000506031
